StockKeyLabel,ICES_Area
sck-nea,27.8.d.2
sma-nea,27.8.d.2
skx-89a,27.8.d.2
syc-bisc,27.8.d.2
trk-nea,27.8.d.2
usk-oth,27.8.d.2
whb-comb,27.8.d.2
whg-89a,27.8.d.2
mur-west,27.8.d.2
anb-78ab,27.8.d.2
anp-78ab,27.8.d.2
whb-comb-alt,27.8.d.2
usk-comb,27.8.d.2
sho-89a,27.8.d.2
rja-nea,27.8.d.2
gur-comb,27.8.d.2
bsf-nea,27.8.d.2
rjn-678abd,27.8.d.2
qsc-nea,27.8.d.2
scx-nea,27.8.d.2
thr-nea,27.8.d.2
rsg-nea,27.8.d.2
rhg-nea,27.8.d.2
arg-rest,27.8.d.2
tsu-nea,27.8.d.2
agn.27.nea,27.8.d.2
alf.27.nea,27.8.d.2
ank.27.78ab,27.8.d.2
ane.27.8,27.8.d.2
mon.27.78ab,27.8.d.2
aru.27.6b7-1012,27.8.d.2
bli.27.nea,27.8.d.2
boc.27.6-8,27.8.d.2
bsf.27.nea,27.8.d.2
bsk.27.nea,27.8.d.2
cyo.27.nea,27.8.d.2
dgs.27.nea,27.8.d.2
gag.27.nea,27.8.d.2
gfb.27.nea,27.8.d.2
guq.27.nea,27.8.d.2
gur.27.3-8,27.8.d.2
hke.27.3a46-8abd,27.8.d.2
hom.27.2a4a5b6a7a-ce-k8,27.8.d.2
lin.27.3a4a6-91214,27.8.d.2
mac.27.nea,27.8.d.2
meg.27.7b-k8abd,27.8.d.2
